date,ticker,extended_z_expanding
2021-08-27,GS,-0.4734528263990096
2021-08-27,INTC,-0.9248046150727107
2021-08-27,KO,
2021-08-27,MMM,0.21852504634515016
2021-08-27,MRK,0.6293269333785857
2021-08-27,MS,0.8184007645279748
2021-08-27,NEE,
2021-08-27,NEM,
2021-08-27,NKE,-0.43562889422651335
2021-08-27,NUE,1.2137956967208896
2021-08-27,NVDA,
2021-08-27,O,0.5342258107454476
2021-08-27,OXY,1.0795277755139996
2021-08-27,PLD,
2021-08-27,PSA,
2021-08-27,QCOM,
2021-08-27,SBUX,
2021-08-27,SHW,
2021-08-27,SLB,1.1095117414211433
2021-08-27,SO,
2021-08-27,T,1.442405467947121
2021-08-27,TMUS,0.34159248269956777
2021-08-27,TTWO,
2021-08-27,UPS,
2021-08-27,USB,
2021-08-27,V,0.30756116497388325
2021-08-27,WFC,-0.6946041720317697
2021-08-27,WMT,-0.5345955037425131
2021-08-27,XOM,0.5945988169083745
2021-08-30,ABBV,0.9155410968910858
2021-08-30,ABT,2.3983809195526087
2021-08-30,ADBE,0.33558099736833374
2021-08-30,AEP,
2021-08-30,AMD,0.35596727928723426
2021-08-30,AMGN,2.6391679768247576
2021-08-30,AMT,
2021-08-30,BA,
2021-08-30,CAT,-0.3215184536920809
2021-08-30,CCI,
2021-08-30,CMCSA,0.26579079848625625
2021-08-30,COP,-0.10930941841265866
2021-08-30,CVX,-0.012334150038931787
2021-08-30,D,
2021-08-30,DD,
2021-08-30,DIS,-0.19804148141697933
2021-08-30,DOW,2.0852880424695113
2021-08-30,DUK,0.5703289920132816
2021-08-30,EA,0.5090949839905454
2021-08-30,GE,-0.20890619542657865
2021-08-30,GILD,-2.7029310090607073
2021-08-30,GS,-0.299908453710095
2021-08-30,INTC,1.740224649701307
2021-08-30,KO,-0.532391821519833
2021-08-30,MMM,
2021-08-30,MRK,
2021-08-30,MS,1.7594801307630943
2021-08-30,NEE,-0.25296315055638796
2021-08-30,NEM,1.4403701199750325
2021-08-30,NKE,0.3568053176957095
2021-08-30,NUE,-0.3579161319735321
2021-08-30,NVDA,
2021-08-30,O,-0.2964707267036681
2021-08-30,OXY,2.085721925515958
